id,name,area,salary_from,salary_to,currency,snippet_requirement,snippet_responsibility,experience,employment,schedule,key_skills
120234317,Финансовый менеджер,Санкт-Петербург,150000.0,,RUR,Высшее экономическое образование. Релевантный опыт работы от 3 лет в некрупных компаниях в сфере розничной торговли. Желание и способность работать...,"Разработка бюджетов на основе стратегических целей компании, определение расходов, доходов и инвестиций. - Формирование управленческой отчетности, построение финансовых моделей и формирование...",От 3 до 6 лет,Полная занятость,Полный день,"Управленческая отчетность, Бюджетирование, Планирование затрат, Привлечение денежных средств, Финансовый анализ, Управление затратами, Формирование аналитической отчетности"
120312736,Помощник менеджера по маркетплейсам Ozon,Волгоград,40000.0,60000.0,RUR,Опыт работы на Ozon от 3 месяцев. Желание расти и развиваться в сфере e-commerce! Базовые знания MS Office (Excel...,Общение с тех. поддержкой. Ответы на отзывы и вопросы по товарам. Общение с покупателями в чате и принятие решений по...,Нет опыта,Полная занятость,Удаленная работа,"Маркетплейсы, Отзывы и вопросы, Техническая поддержка, SEO, Ведение рабочей документации, Логистика"
120237227,Менеджер по ВЭД,Санкт-Петербург,85000.0,97000.0,RUR,"Требования: Высшее экономическое образование. Знание английского языка . Хорошие знания MS Office. Приглашаем выпускников ВУЗов , без опыта работы.","проверка аккредитивов, составление, открытие документарного аккредитива с покрытием, частичным покрытием или без покрытия. - открытие аккредитива с использованием финансирования зарубежных банков. ",Нет опыта,Полная занятость,Полный день,Английский язык
120293795,Региональный менеджер по управлению складами и логистическими активами,Атырау,,,,Опыт работы в должности не менее 5х лет. Образование – Высшее. Опытный пользователь 1С- WMS. Опыт работы в области...,"Организация руководства складской деятельностью в отношении входящих/исходящих грузопотоков (складские и транзитные операции, погрузочно-разгрузочные работы, транспортировка материалов). ",Более 6 лет,Полная занятость,Полный день,
120313506,Аккаунт менеджер (Спецпроекты),Москва,,,,Опыт работы в аккаунтинге и реализации спец. проектов от 2х лет. Опыт сопровождения крупных клиентов. Уверенный пользователь Excel. ,"X5 Media – единое окно по продаже маркетинговых инструментов Пятерочки, Перекрестка и других торговых сетей и бизнес-единиц X5...",От 1 года до 3 лет,Полная занятость,Полный день,
120169192,Менеджер службы поддержки (чаты),Санкт-Петербург,45000.0,70000.0,RUR,Иметь любой опыт работы с клиентами. Желательно уметь работать с help-desk платформами.,"Решать проблемы клиентов и подключать коллег из других отделов: контента, маркетинга, разработки.",От 1 года до 3 лет,Полная занятость,Удаленная работа,"Работа с жалобами клиентов, Управление отношениями с клиентами"
120309199,Менеджер по кадровому делопроизводству,Саратов,50000.0,,RUR,Опыт работы в кадровом делопроизводстве от 1 до 3 лет. Знание трудового законодательства и нормативных актов в области кадрового делопроизводства. ,"Ведение полного цикла кадрового делопроизводства: от приема до увольнения сотрудников. Оформление и ведение личных дел сотрудников, трудовых договоров и дополнительных...",От 1 года до 3 лет,Полная занятость,Полный день,
119307598,Менеджер в офис,Алматы,400000.0,500000.0,KZT,Уверенный пользователь ПК. Знаешь технологии продаж. Коммуникабелен. ! Идеально подходит для начинающего бухгалтера.,Продавать классный продукт и закрывать большие сделки. Проводить телефонные переговоры и отрабатывать запросы. Выстраивать долгосрочные взаимовыгодные отношения с Клиентами. ,От 1 года до 3 лет,Полная занятость,Полный день,"Активные продажи, Поиск и привлечение клиентов, Навыки продаж, Управление отношениями с клиентами, Прямые продажи, Развитие продаж"
119731526,Менеджер по сервису (Бортпроводник),Алматы,,,,Опыт работы в аналогичной должности приветствуется. Знание стандартов безопасности и обслуживания пассажиров. Умение работать в команде и принимать решения в...,Обеспечение безопасности пассажиров на борту и на земле в соответствии с установленными процедурами. Предоставление высококачественного сервиса на борту воздушного судна...,От 3 до 6 лет,Полная занятость,Полный день,"Английский язык, Деловое общение, Организаторские навыки, Навыки межличностного общения, Ориентация на клиента, Точность и внимательность к деталям"
120057367,Чат-менеджер по продажам,Москва,100000.0,160000.0,RUR,Опыт в продажах от 1 года (продажи в чатах - как преимущество). Знание технологий продаж. Опыт работы в СРМ системах. ,"Продажи через переписку, в чате (80% - входящие тёплые лиды). Передача клиенту договора и счёта. Контроль получения оплаты от клиента. ",От 1 года до 3 лет,Полная занятость,Удаленная работа,
